Geneid,N1,N2,T1,T2,T3,T4
AMELX,0,0,0,3,0,5
AMER1,42,14,5,13,9,43
AMER2,26,19,31,29,58,31
AMER3,0,13,10,31,33,48
AMFR,27,30,80,49,95,69
AMH,0,0,0,0,0,11
AMHR2,0,3,100,28,22,77
AMIGO1,61,0,10,24,3,18
AMIGO2,0,24,2,22,0,15
AMIGO3,6,0,3,0,0,11
AMMECR1,34,27,60,48,59,66
AMMECR1L,0,22,41,36,33,61
AMN,47,23,20,14,2,38
AMN1,0,0,47,25,40,15
AMOT,82,11,41,17,35,35
AMOTL1,0,55,81,94,73,82
AMOTL2,71,5,9,20,1,18
AMPD1,0,45,35,35,56,44
AMPD2,23,0,18,11,3,61
AMPD3,26,16,28,24,19,46
AMPH,0,35,34,35,34,47
AMT,1,24,61,32,35,34
AMTN,0,0,1,3,9,11
AMY1A,0,0,0,0,7,0
AMY1B,1,0,2,1,6,1
AMY1C,0,0,5,9,4,5
AMY2A,0,1,0,1,0,4
AMY2B,25,24,30,46,27,17
AMZ1,50,27,87,37,82,148
AMZ2_1,0,0,1,0,1,0
